"Faculty","Year","Publication"
"Apen",2025,"GL Chuwa, CH Kasanzu, EO Kazimoto, FE Apen. 2025. Trace element geochemistry and zircon U-Pb geochronology of mafic sills from the Karagwe Ankolean Belt of northwestern Tanzania: Implications for petrogenesis and Ni-Cu-Co …, Journal of Geochemical Exploration 268, 107614."
"Aslan",2025,"S Southern, MW Sample, CE Aslan. 2025. Interacting stressors drive landscape variation in demographic response of the endangered plant, Pectis imberbis (A. Gray), Journal of Arid Environments 227, 105284."
"Fegyveresi",2025,"JJ Fitzpatrick, LA Wilen, DE Voigt, RB Alley, JM Fegyveresi. 2025. Characteristics, origin, and significance of chessboard subgrain boundaries in the WAIS Divide Ice Core, Annals of Glaciology 1-28."
"Radonic",2025,"C Jacob, L Radonic, P Jayakodi. 2025. Toxic Homes, Toxic Water: Housing, segregation, and gendered responsibilities for household water insecurity in the American Rust Belt, Routledge Handbook of Gender and Water Governance 121-135."
"Shillington",2025,"D Bassett, DJ Shillington, LM Wallace, JL Elliott. 2025. Variation in slip behaviour along megathrusts controlled by multiple physical properties, Nature Geoscience 1-12."
"Shillington",2025,"V Cortés-Rivas, DJ Shillington, D Lizarralde, H Mark. 2025. Interactions between megathrust behavior and forearc deformation in the Andreanof segment of the Aleutian Subduction Zone, offshore Alaska, USA, Geology ."
"Apen",2024,"FE Apen, RL Rudnick, RM Flowers, SP Gaynor, JM Cottle. 2024. Metasomatism of the Wyoming craton lower crust during the Laramide orogeny: Extending the record of lithosphere hydration across western North America, Earth and Planetary Science Letters 641, 118832."
"Apen",2024,"FE Apen, SP Gaynor, B Schoene, JM Cottle. 2024. Evaluating reference materials and common-Pb corrections for high-resolution apatite UPb geochronology, Chemical Geology 122191."
"Apen",2024,"G Bonnet, FE Apen, M Soret, J Noel, B Caron, D Ninkabou, P Zverev, et al.. 2024. Seamount subduction dynamics and long‐term evolution of the Franciscan active margin, Tectonics 43 (3), e2023TC008084."
"Apen",2024,"EA Cadena Rueda, B Benítez, FE Apen, J Leahey Crowley, J Cottle, et al.. 2024. Wider paleogeographical distribution of bothremydid turtles in northern south america during the paleocene eocene, Asociación Paleontológica Argentina ."
"Aslan",2024,"C Aslan, R Tarver, M Brunson, S Veloz, B Sikes, R Epanchin-Niell. 2024. Experiences with wildfire are associated with private landowners’ management decisions, relationships, and perceptions of risk, Landscape and Urban Planning 247, 105067."
"Aslan",2024,"C Aslan, S Souther, A Thode, A Youberg, Z Evans. 2024. Measuring and predicting disturbance resilience in ecosystems, with emphasis on fire: A review and meta-analysis, Journal of Environmental Management 372, 123353."
"Aslan",2024,"K Fankhauser, A Shiels, C Aslan. 2024. Vertebrate Herbivory in Arid System Restoration Success: AN Exploratory Case Study and Systematic Review, The Southwestern Naturalist 68 (3), 166-178."
"Aslan",2024,"C Aslan, D Alagador, E Muths, BJ Halstead, BJ Halstead, PM Kleeman, et al.. 2024. OPEN ACCESS EDITED BY, Interpretation and Implications of Variability in Ecological Systems 20."
"Aslan",2024,"L Borda-de-Água, A Sanaei, YF Wiersma, CE Aslan. 2024. OPEN ACCESS EDITED BY, Interpretation and Implications of Variability in Ecological Systems 4."
"Aslan",2024,"SK Souther, ME Sandor, M Sample, S Gabrielson, CE Aslan. 2024. Bee and butterfly records indicate diversity losses in western and southern North America, but extensive knowledge gaps remain, Plos one 19 (5), e0289742."
"Aslan",2024,"M Baslam, M Anli, JS Patel, DL Smith. 2024. OPEN ACCESS EDITED BY, Biostimulants for climate-smart and sustainable agriculture 102."
"Aslan",2024,"MJ Medeiros, WP Haines, CE Aslan, AB Shiels, A Aue, CT Liang. 2024. Understory Arthropod Diversity in a Mixed Dryland Ecosystem, Hawai ‘i, Pacific Science 77 (4), 363-382."
"Best",2024,"IJ Garthwaite, C Lepp, ZSR Maldonado, D Blasini, KC Grady, CA Gehring, et al.. 2024. Plasticity in Hydraulic Architecture: Riparian Trees Respond to Increased Temperatures With Genotype‐Specific Adjustments to Leaf Traits, Ecology and Evolution 14 (12), e70683."
"Best",2024,"JPM Corbin, RJ Best, IJ Garthwaite, HF Cooper, CE Doughty, CA Gehring, et al.. 2024. Hyperspectral Leaf Reflectance Detects Interactive Genetic and Environmental Effects on Tree Phenotypes, Enabling Large‐Scale Monitoring and Restoration Planning Under Climate …, Plant, Cell & Environment ."
"Best",2024,"JPM Corbin, RJ Best, IJ Garthwaite, HF Cooper, CE Doughty, CA Gehring, et al.. 2024. Data set: Genetic and environmental effects on hyperspectral leaf reflectance in Fremont cottonwood, EcoSIS ."
"Biggs",2024,"AR Braczkowski, L Namukose, S Musobozi, O Cornille, T Mudumba, et al.. 2024. Rangers on the frontline of wildlife monitoring: a case study on African lions in Uganda’s Nile Delta, Communications Biology 7 (1), 1308."
"Biggs",2024,"RB de Andrade Aragão, MGB Lima, GL Burns, H Ross, D Biggs. 2024. ‘Greenlash’and reactionary stakeholders in environmental governance: An analysis of soy farmers against zero deforestation in Brazil, Forest Policy and Economics 166, 103267."
"Biggs",2024,"C Gaillard, JM Keany, JL Diehl, P Ranjan, D Biggs. 2024. Mobile apps for 30× 30 equity, Nature Sustainability 1-2."
