First Initial,Last Name,ID,StartYear,EndYear
S,Affinatti,kARu5JoAAAAJ,2021,
R,Anderson,,2000,
F,Apen,s-uRSoYAAAAJ,2024,
C,Aslan,OQcWVAoAAAAJ,2014,
R,Best,MS9xVqIAAAAJ,2016,
D,Biggs,zQTZixsAAAAJ,2021,
J,Byrnes,Tu_tGfwAAAAJ,2023,
B,Dickson,TZcEU1QAAAAJ,2014,2022
M,Erb,6w5ZNo4AAAAJ,2017,2025
J,Fegyveresi,y6CEvEMAAAAJ,2019,
J,Gaherty,uglQirIAAAAJ,2019,
K,Grimm,B0yY-3YAAAAJ,2014,2020
R,Haro,vECIU2QAAAAJ,2023,
T,Hoisch,7_cd6R4AAAAJ,2000,
D,Huntzinger,e4XX478AAAAJ,2011,
N,Johnson,vYs1mtEAAAAJ,2000,
T,Joyal,LUAnXfsAAAAJ,2012,
D,Kaufman,KpeykKsAAAAJ,2000,
R,Logan,,2022,
N,McKay,j8_CgoEAAAAJ,2013,
J,Mueller,brG-UpsAAAAJ,2008,
E,Nielsen,vAflpUkAAAAJ,2008,
E,Nowak,RLI2k1MAAAAJ,2017,
R,Parnell,IoVNx7IAAAAJ,2000,
D,Perry,eQIGxvsAAAAJ,2017,
R,Porter,VrFY4scAAAAJ,2014,
L,Radonic,eLQPg4oAAAAJ,2023,
P,Ranjan,UsiCVxYAAAAJ,2022,
C,Regalla,PdHBgEUAAAAJ,2019,
M,Reid,pg-HuIIAAAAJ,2003,
C,Routson,TQAQTl0AAAAJ,2017,
H,Rowe,NRUIqxcAAAAJ,2018,
J,Sample,JL2daQcAAAAJ,2003,
R,Sanford,mMGsnC8AAAAJ,2012,
T,Sankey,3zszVGYAAAAJ,2014,
D,Shillington,bDSq2ksAAAAJ,2019,
T,Sisk,2ZA_zeIAAAAJ,2000,
M,Smith,CBG7OuAAAAAJ,2014,
B,Smith-Konter,,2025,
S,Souther,zzM06IcAAAAJ,2017,
A,Springer,X53gmAQAAAAJ,2008,
D,Stuart,cc0d2WUAAAAJ,2012,
C,Tierney,mXXdXgYAAAAJ,2021,
P,Umhoefer,ZLMsh8MAAAAJ,2000,
L,Wasylenki,QVFkTAgAAAAJ,2018,
